home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
Southampton,Bournemouth,late kick-off,33,27 April 2023,19:45 BST,St Mary's Stadium,0–1,1,1,0,Darren England,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bournemouth,Leeds United,early kick-off,34,30 April 2023,14:00 BST,Vitality Stadium,4–1,5,1,4,Chris Kavanagh,0,2,1,0,1,1,0,1,3,2,1,4,0,0,2,0,0,1,0,0,1,0,1,0,0,0,1,0,2,1,2,0,1,0,3,1
Bournemouth,Manchester United,standard kick-off,37,20 May 2023,15:00 BST,Vitality Stadium,0–1,1,1,0,Chris Kavanagh,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Everton,Bournemouth,standard kick-off,38,28 May 2023,16:30 BST,Goodison Park,1–0,1,0,1,Stuart Attwell,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Everton,Nottingham Forest,standard kick-off,3,20 August 2022,15:00 BST,Goodison Park,1–1,2,1,1,Andre Marriner,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1
Leicester City,Nottingham Forest,late kick-off,9,3 October 2022,20:00 BST,King Power Stadium,4–0,4,0,4,Robert Jones,0,2,1,0,1,0,0,0,3,1,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,4,0
Nottingham Forest,Brentford,standard kick-off,15,5 November 2022,15:00 GMT,City Ground,2–2,4,2,2,Andre Marriner,0,1,1,0,1,1,1,1,2,2,2,2,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1
Manchester United,Nottingham Forest,late kick-off,17,27 December 2022,20:00 GMT,Old Trafford,3–0,3,0,3,Anthony Taylor,0,2,0,0,0,1,0,0,2,1,0,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0
Southampton,Nottingham Forest,late kick-off,19,4 January 2023,19:30 GMT,St Mary's Stadium,0–1,1,1,0,Thomas Bramall,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Nottingham Forest,Leicester City,standard kick-off,20,14 January 2023,15:00 GMT,City Ground,2–0,2,0,2,Paul Tierney,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0
Nottingham Forest,Leeds United,early kick-off,22,5 February 2023,14:00 GMT,City Ground,1–0,1,0,1,Robert Jones,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Nottingham Forest,Everton,early kick-off,26,5 March 2023,14:00 GMT,City Ground,2–2,4,2,2,John Brooks,1,2,0,0,0,1,0,0,3,1,0,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,0,0,0,2,2
Leeds United,Nottingham Forest,late kick-off,7,4 April 2023,19:45 BST,Elland Road,2–1,3,1,2,Robert Jones,1,1,1,0,0,0,1,0,3,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1
Nottingham Forest,Manchester United,standard kick-off,31,16 April 2023,16:30 BST,City Ground,0–2,2,2,0,Simon Hooper,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
Brentford,Nottingham Forest,standard kick-off,34,29 April 2023,15:00 BST,Gtech Community Stadium,2–1,3,1,2,Peter Bankes,0,0,1,0,0,2,1,1,1,2,2,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,1,2,0,1,1,1,0
Nottingham Forest,Southampton,late kick-off,35,8 May 2023,20:00 BST,City Ground,4–3,7,3,4,Michael Oliver,0,3,1,1,1,1,0,1,4,3,1,6,0,0,2,1,1,0,0,1,1,0,0,1,0,0,0,1,3,1,1,2,0,1,4,2
Brentford,Everton,standard kick-off,4,27 August 2022,15:00 BST,Gtech Community Stadium,1–1,2,1,1,John Brooks,0,1,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1
Leeds United,Everton,late kick-off,5,30 August 2022,20:00 BST,Elland Road,1–1,2,1,1,Darren England,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Southampton,Everton,standard kick-off,9,1 October 2022,15:00 BST,St Mary's Stadium,1–2,3,2,1,Andre Marriner,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2
Everton,Manchester United,late kick-off,10,9 October 2022,19:00 BST,Goodison Park,1–2,3,2,1,David Coote,2,0,1,0,0,0,0,0,3,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,2
Everton,Leicester City,standard kick-off,15,5 November 2022,17:30 GMT,Goodison Park,0–2,2,2,0,David Coote,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2
Everton,Southampton,standard kick-off,20,14 January 2023,15:00 GMT,Goodison Park,1–2,3,2,1,John Brooks,0,0,1,1,0,1,0,0,1,2,0,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,2
Everton,Leeds United,standard kick-off,24,18 February 2023,15:00 GMT,Goodison Park,1–0,1,0,1,Andrew Madley,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Everton,Brentford,standard kick-off,27,11 March 2023,15:00 GMT,Goodison Park,1–0,1,0,1,Simon Hooper,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Manchester United,Everton,early kick-off,30,8 April 2023,12:30 BST,Old Trafford,2–0,2,0,2,Michael Oliver,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Leicester City,Everton,late kick-off,34,1 May 2023,20:00 BST,King Power Stadium,2–2,4,2,2,Michael Oliver,1,1,1,1,0,0,0,0,3,1,0,4,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2
Leicester City,Brentford,early kick-off,1,7 August 2022,14:00 BST,King Power Stadium,2–2,4,2,2,Jarred Gillett,0,0,1,1,1,1,0,0,1,3,0,4,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,2,2
Leicester City,Southampton,standard kick-off,3,20 August 2022,15:00 BST,King Power Stadium,1–2,3,2,1,Michael Salisbury,0,0,0,1,1,1,0,0,0,3,0,3,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,1,2
Leicester City,Manchester United,late kick-off,5,1 September 2022,20:00 BST,King Power Stadium,0–1,1,1,0,Craig Pawson,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Leicester City,Leeds United,late kick-off,11,20 October 2022,20:15 BST,King Power Stadium,2–0,2,0,2,Peter Bankes,0,1,1,0,0,0,0,0,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0
Manchester United,Leicester City,early kick-off,23,19 February 2023,14:00 GMT,Old Trafford,3–0,3,0,3,Stuart Attwell,0,1,0,1,1,0,0,0,1,2,0,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0
Southampton,Leicester City,standard kick-off,25,4 March 2023,17:30 GMT,St Mary's Stadium,1–0,1,0,1,Robert Jones,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Brentford,Leicester City,standard kick-off,27,18 March 2023,15:00 GMT,Brentford Community Stadium,1–1,2,1,1,Darren Bond,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
Leeds United,Leicester City,late kick-off,33,25 April 2023,20:00 BST,Elland Road,1–1,2,1,1,Paul Tierney,0,1,0,0,0,1,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1
Southampton,Leeds United,standard kick-off,2,13 August 2022,15:00 BST,St Mary's Stadium,2–2,4,2,2,Tony Harrington,0,0,0,2,1,1,0,0,0,4,0,4,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,2,2,0,0,2,2
Brentford,Leeds United,standard kick-off,6,3 September 2022,15:00 BST,Gtech Community Stadium,5–2,7,2,5,Robert Jones,0,1,2,1,0,3,1,1,3,4,2,5,0,0,1,0,1,1,1,0,0,0,2,1,0,1,1,0,2,1,3,1,1,1,4,1
Leeds United,Brentford,early kick-off,19,22 January 2023,14:00 GMT,Elland Road,0–0,0,0,0,Peter Bankes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Leeds United,late kick-off,21,8 February 2023,20:00 GMT,Old Trafford,2–2,4,2,2,Simon Hooper,1,0,0,1,2,0,0,0,1,3,0,4,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,1,0,0,2,2
Leeds United,Manchester United,early kick-off,22,12 February 2023,14:00 GMT,Elland Road,0–2,2,2,0,Paul Tierney,0,0,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2
Leeds United,Southampton,standard kick-off,24,25 February 2023,15:00 GMT,Elland Road,1–0,1,0,1,Peter Banks,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
Southampton,Manchester United,early kick-off,4,27 August 2022,12:30 BST,St Mary's Stadium,0–1,1,1,0,Andy Madley,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Brentford,Southampton,standard kick-off,21,4 February 2023,15:00 GMT,Brentford Community Stadium,3–0,3,0,3,Darren Bond,0,0,2,0,0,1,0,0,2,1,0,3,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,3,0
Manchester United,Southampton,early kick-off,26,12 March 2023,14:00 GMT,Old Trafford,0–0,0,0,0,Anthony Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,Brentford,late kick-off,27,15 March 2023,19:30 GMT,St Mary's Stadium,0–2,2,2,0,Michael Salisbury,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1
