home_team,away_team,match_period,game_week,match_date,match_time,stadium,score_line,total_goals,away_goals,home_goals,referee,min 1-15 goals,min 16-30 goals,min 31-45+ goals,min 46-60 goals,min 61-75 goals,min 76-90+ goals,45+ goals,90+ goals,1st_half goals,2nd_half goals,stoppage_time goals,normal_time goals,min 1-15 home goals,min 1-15 away goals,min 16-30 home goals,min 16-30 away goals,min 31-45+ home goals,min 31-45+ away goals,min 46-60 home goals,min 46-60 away goals,min 61-75 home goals,min 61-75 away goals,min 76-90+ home goals,min 76-90+ away goals,45+ home goals,45+ away goals,90+ home goals,90+ away goals,1st_half home goals,1st_half away goals,2nd_half home goals,2nd_half away goals,stoppage_time home goals,stoppage_time away goals,normal_time home goals,normal_time away goals
Crystal Palace,West Ham United,early kick-off,34,29 April 2023,12:45 BST,Selhurst Park,4–3,7,3,4,Craig Pawson,2,2,1,0,2,0,0,0,5,2,0,7,1,1,2,0,0,1,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,0,4,3
Crystal Palace,Bournemouth,standard kick-off,36,13 May 2023,15:00 BST,Selhurst Park,2–0,2,0,2,Michael Salisbury,0,0,1,1,0,0,0,0,1,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
Crystal Palace,Nottingham Forest,standard kick-off,38,28 May 2023,16:30 BST,Selhurst Park,1–1,2,1,1,Thomas Bramall,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
Everton,Chelsea,standard kick-off,1,6 August 2022,17:30 BST,Goodison Park,0–1,1,1,0,Craig Pawson,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
Leeds United,Chelsea,early kick-off,3,21 August 2022,14:00 BST,Elland Road,3–0,3,0,3,Stuart Attwell,0,0,2,0,1,0,0,0,2,1,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0
Chelsea,Leicester City,standard kick-off,4,27 August 2022,15:00 BST,Stamford Bridge,2–1,3,1,2,Paul Tierney,0,0,0,1,2,0,0,0,0,3,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,1
Southampton,Chelsea,late kick-off,5,30 August 2022,19:45 BST,St Mary's Stadium,2–1,3,1,2,Michael Oliver,0,2,1,0,0,0,1,0,3,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,1,0,1,1
Chelsea,West Ham United,standard kick-off,6,3 September 2022,15:00 BST,Stamford Bridge,2–1,3,1,2,Andrew Madley,0,0,0,0,1,2,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,0,2,1
Chelsea,Wolverhampton Wanderers,standard kick-off,10,8 October 2022,15:00 BST,Stamford Bridge,3–0,3,0,3,Simon Hooper,0,0,1,1,0,1,1,0,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,2,0,1,0,2,0
Brentford,Chelsea,late kick-off,12,19 October 2022,19:30 BST,Brentford Community Stadium,0–0,0,0,0,Jarred Gillett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
